Time,liquid % in condensor,condensor pressure(kpa),liquid % in reboiler,Mass Flow Rate in Feed Flow  (kg/h),Mass Flow rate in top outlet stream  (kg/h),Net Mass Flow in main tower,Mole Fraction HX at reboiler,HX Mole Fraction in Top Outler Stream,Feed Mole Fraction,Feed Mole Fraction,Feed Tray Temperature,Main Tower Pressure,Bottom Tower Pressure,Top Tower Pressure,Reflux Ratio,Duties Summary,MoleFractionTX,MoleFractionHX
1260,50.38470713,101.6727071,50.48930713,3721.104707,6715.124707,2752.774707,1053.674707,0.0547014,0.501001,0.498999,77.22460713,104.8147071,110.8827071,67.70380713,0.810064,0,0.96593,0.0340696
1290,49.77100997,101.06071,49.87990997,3720.55271,6715.04271,2751.09271,1053.14271,0.0547208,0.501001,0.498999,76.61130997,104.20271,110.27071,67.09180997,0.810702,0,0.965934,0.0340663
1320,49.93351141,101.2264114,50.04661141,3720.646411,6715.586411,2751.136411,1053.396411,0.0547479,0.501001,0.498999,76.77541141,104.3664114,110.4344114,67.25551141,0.811297,0,0.965938,0.0340622
1350,50.26349478,101.5614948,50.37979478,3720.826495,6716.056495,2751.416495,1053.796495,0.0547731,0.501001,0.498999,77.10629478,104.6964948,110.7644948,67.58559478,0.811596,0,0.965941,0.0340585
1380,49.97543177,101.2777318,50.09373177,3720.357732,6715.707732,2751.287732,1053.537732,0.0547899,0.501001,0.498999,76.81863177,104.4077318,110.4757318,67.29683177,0.811573,0,0.965943,0.0340565
1410,49.73637443,101.0427744,49.85607443,3719.967774,6715.267774,2752.027774,1053.267774,0.0548018,0.501001,0.498999,76.58007443,104.1677744,110.2357744,67.05687443,0.811429,0,0.965945,0.0340551
1440,49.77470684,101.0829068,49.89480684,3719.884907,6714.934907,2752.464907,1053.204907,0.054802,0.501001,0.498999,76.61840684,104.2049068,110.2729068,67.09400684,0.81107,0,0.965944,0.0340557
1470,49.86036498,101.169265,49.98016498,3719.949265,6714.699265,2753.209265,1053.179265,0.0547913,0.501001,0.498999,76.70306498,104.289265,110.357265,67.17836498,0.810589,0,0.965942,0.0340579
1500,49.6683072,100.9745072,49.7880072,3719.846507,6714.396507,2753.336507,1053.086507,0.0547749,0.501001,0.498999,76.5100072,104.0965072,110.1645072,66.9856072,0.810235,0,0.965939,0.0340614
1530,49.98861738,101.2925174,50.10851738,3720.296517,6714.616517,2753.926517,1053.266517,0.0547598,0.501001,0.498999,76.82971738,104.4165174,110.4845174,67.30561738,0.809966,0,0.965935,0.0340645
1560,50.39955629,101.6996563,50.52005629,3720.907656,6715.097656,2754.267656,1053.717656,0.0547445,0.501001,0.498999,77.24125629,104.8276563,110.8956563,67.71675629,0.809855,0,0.965932,0.0340676
1590,50.4107081,101.7082081,50.5322081,3721.099208,6715.379208,2753.739208,1053.769208,0.054734,0.501001,0.498999,77.2508081,104.8392081,110.9072081,67.7283081,0.809863,0,0.96593,0.0340701
1620,49.56096433,100.8575643,49.68466433,3720.390564,6714.850564,2752.650564,1052.890564,0.0547353,0.501001,0.498999,76.40186433,103.9905643,110.0585643,66.87966433,0.810114,0,0.96593,0.03407
1650,50.40435309,101.6996531,50.53015309,3721.344653,6715.954653,2753.464653,1053.764653,0.0547393,0.501001,0.498999,77.24575309,104.8346531,110.9026531,67.72375309,0.810362,0,0.96593,0.0340698
1680,50.00362289,101.2995229,50.13162289,3720.964523,6715.824523,2752.764523,1053.414523,0.0547486,0.501001,0.498999,76.84592289,104.4345229,110.5025229,67.32362289,0.810624,0,0.965931,0.0340687
1710,50.01519196,101.313292,50.14509196,3720.966292,6715.946292,2752.396292,1053.436292,0.0547579,0.501001,0.498999,76.85699196,104.446292,110.514292,67.33539196,0.810763,0,0.965932,0.0340678
1740,49.81803294,101.1180329,49.94953294,3720.719033,6715.749033,2752.019033,1053.279033,0.0547666,0.501001,0.498999,76.65993294,104.2490329,110.3170329,67.13813294,0.810803,0,0.965933,0.0340671
1770,50.48584211,101.7866421,50.61864211,3721.346642,6716.496642,2753.416642,1053.926642,0.0547742,0.501001,0.498999,77.32874211,104.9166421,110.9846421,67.80574211,0.810833,0,0.965933,0.0340666
